Class	Type	Kit	Tags	Description
Scoundrel	Assassin	Golden Silk	Alchemy	A hallucinogenic dust that can be powdered on gloves or thrown. Can be used to induce confusion, render someone highly suggestable, or inflict Mental damage. You have Advantage when lying to others.
Scoundrel	Assassin	Heartstop Thorns	Weapon, Ranged, High Damage	A set of needles tipped with paralyzing poison. Using this weapon greatly reduces a target’s mobility, in addition to any Physical damage dealt. Successful attacks deal an additional box of damage.
Scoundrel	Assassin	Magebane Thorns	Weapon, Ranged	A set of silver needles coated in holy water. Using this weapon cuts off a target’s ability to use magic temporarily.
Scoundrel	Assassin	Manifold Venom	Alchemy	A collection of dangerous poisons that can be applied to weapons or slipped into drinks. Can be used to sap strength, cause blindness, or induce sleep. Requires an action if applied to a weapon in combat.
Scoundrel	Assassin	Nerve Thorns	Weapon, Ranged	A set of transparent needles laced with nerve poison. Using this weapon can incapacitate targets without lasting harm or visible injury, in addition to any Physical damage dealt. You have Advantage when disguising your sneak attacks to avoid notice.
Scoundrel	Assassin	Talisman of Darkness	Talisman	A wand or other object that can be used to manipulate darkness. Can be used to obscure appearances, darken areas, and blind enemies. You have Advantage when hiding in dimly lit areas.
Scoundrel	Bard	Dervish Knives	Weapon, Ranged	A set of throwing knives that can be flicked through the air with ease. Using this weapon allows you to move before and after making an attack, darting outside of melee range or throwing blades while running. You have Advantage when performing acrobatics.
Scoundrel	Bard	Faerie Fire	Alchemy	A volatile powder used in fireworks. Can create plumes of smoke, bright lights, flames, and loud noises. You have Advantage when entertaining and distracting others.
Scoundrel	Bard	Fencing Knives	Weapon, Defense	A set of daggers meant for close combat. Using this weapon gives you Advantage on rolls to dodge until the start of your next turn. You have Advantage on rolls to move swifty, such as when retreating or pursuing.
Scoundrel	Bard	Holy Water	Alchemy	A specially treated liquid that negates magic. Can be used to counter spells, damage magical objects, and repel monsters. You have Advantage when resisting the effects of magic.
Scoundrel	Bard	Talisman of Light	Talisman	A wand or other object that can be used to manipulate light. Can be used to create ghostly illusions, see afar, and blind enemies. You have Advantage on rolls related to seeing.
Scoundrel	Bard	Talisman of Sound	Talisman	A wand or other object that can be used to manipulate sound. Can be used to project noises, eavesdrop from afar, and shatter eardrums. You have Advantage on rolls related to hearing.
Soldier	Blademaster	Adamantine Gauntets	Alchemy	Heavy gauntlets made of a nearly indestructable material. Can be used to grab blades, poisonous spines, molten metal, and other hazards without harm. You have Advantage when grappling or otherwise keeping a tight grip on something.
Soldier	Blademaster	Dueling Steel	Weapon, Defense, Accurate	A regulation-length sword for resolving legal disputes. Using this weapon gives you Advantage on rolls to defend until the start of your next turn, and adds +1 to the roll result of your attacks. You have Advantage when provoking others into a duel.
Soldier	Blademaster	Flametongue	Weapon, High Damage	An iron sword that glows constantly with a fierce heat. Using this weapon ignites flammable objects on contact. Successful attacks deal an additional box of damage.
Soldier	Blademaster	Sturdy Boots	Alchemy	A set of boots that provide steady footing in dangerous conditions. You are immune to hazards that impede your movement, such as grease slicks or ice, and cannot be knocked over. You have Advantage when reacting to traps.
Soldier	Blademaster	Vorpal Blade	Weapon, High Damage	An impossibly sharp sword made of liquid metal. Using this weapon allows your attacks to cleanly slice through iron. Successful attacks deal an additional box of damage, and can cause harm in a small area of effect near your primary target.
Soldier	Blademaster	Windcutter	Weapon, Ranged	A curved scimitar that catches the wind and turns it into sharp blades. Using this weapon greatly extends the range of your attacks. You have Advantage when defending against projectile attacks like arrows and bullets.
Alchemist	Chemist	Agua Regia	Alchemy	A dangerously potent acid that eats through metals with ease. Can be used to break locks, sabotage equipment, and create clouds of poisonous gas. You can expend a Potion to create a poisonous gas bomb that fills the air with thick toxic smoke.
Alchemist	Chemist	Midnight Oil	Alchemy	A dark oil that absorbs sound and light, muting its surroundings. Can be used to create invisible flames, create sleeping gas, and dampen sound or light. You can expend a Potion to create a knockout grenade that releases sleeping gas into an area, dealing Mental damage.
Alchemist	Chemist	Mist Rod	Weapon	A mechanical tool with an adjustable nozzle that sprays chemicals. When used as a weapon, produces a painful acid wash that causes Physical damage. Can be used with other Alchemy kits.
Alchemist	Chemist	Vaccuum Space	Alchemy	A jar of carefully prepared void, which emits a strong suction force when opened. Can be used to capture a fog of poisonous gas, put out fires, and propel yourself forward. You can expend a Potion to create an implosion grenade.
Alchemist	Chemist	Vorpal Glue	Alchemy, High Damage	An unprocessed liquid metal that hardens after exposure to the air. Can be used as an adhesive, as a construction material, and as means of restricting enemy movement. You can expend a Potion to create a spike of Vorpal metal, dealing two boxes of Physical damage and piercing through metal.
Alchemist	Chemist	Winterbloom Extract	Alchemy	Highly-concentrated extract from the Winterbloom flower. Can be used to freeze large volumes of water, create clouds of fog, and plummet the temperature of objects. You can expend a Potion to create a flash freeze bomb that deals damage and covers an area with a thin sheet of ice.
Advanced	Conjurer	Brimstone Powder	Alchemy	An otherworldly dust that conducts and magnifies magical energy. Can be used to set explosive traps, turn fire into waterproof hellfire, and bribe unsavory merchants. You can expend a Potion to create a hellfire grenade that deals damage and creates waterproof flames.
Advanced	Conjurer	Fey Venom	Alchemy	A drug that changes the properties of blood. Can be used to stop blood loss, create wounds that bleed incessently, and treat inflammation. When you produce a Potion, it heals an additional Physical box.
Advanced	Conjurer	Solomon Rod	Weapon	A metal rod that holds sway over otherworldly creatures. Successful attacks against magical creatures fog their minds and deal an additional box of Mental damage. You have Advantage when influencing magical creatures.
Advanced	Conjurer	Talisman of Demons	Talisman	A wand or other object that can be used to bring forth demonic influence. Can be used to summon imps, consult devils for knowledge, and fling hellfire. You have Advantage when using Knowledge to recall forbidden information.
Advanced	Conjurer	Talisman of Fey	Talisman	A wand or other object that can be used to bring forth faerie influence. Can be used to summon pixies, bewitch the senses, and change your appearence. You have Advantage when using Presence to confuse and bewilder others.
Advanced	Conjurer	Talisman of Jinn	Talisman	A wand or other object that can be used to bring forth jinn influence. Can be used to summon snakes, call forth blistering hot wind, and see into the past of an object. You have Advantage when using Knowledge to recall history.
Advanced	Corsair	Bloody Cutlass	Weapon, High Damage	A sword with a nasty red hue that drinks blood with every strike. Successful attacks deal an additional box of damage. You have Advantage when intimidating others.
Advanced	Corsair	Grapple Hook	Alchemy	A projectile grappling hook, the last resort of unfortunate sky pirates. Can be used to avoid fatal falls, capture fleeing enemies, and make daring entrances. You have Advantage when making quick escapes.
Advanced	Corsair	Marauder Flintlock	Weapon, High Damage	A bewitched handgun whose bullets hit like cannon balls. Using this weapon breaks through armor and obstacles with significant force, but requires several minutes to reload. Successful attacks deal an additional box of damage. You have Advantage when using this weapon to destroy objects.
Advanced	Corsair	Sticky Fingers	Alchemy	A set of gloves covered in an odd adhesive. Allows the user to climb any surface with ease and snatch objects with a light touch. You have Advantage when stealing.
Advanced	Corsair	Talisman of Sea	Talisman	A wand or other object that can be used to call on the spirits of the sea. Can be used to shift the flow of currents, breathe underwater, and speak with creatures of the sea. You have Advantage when swimming.
Advanced	Corsair	Talisman of Sky	Talisman	A wand or other object that can be used to call on the spirits of the sky. Can be used to whip up strong winds, find your way when lost, and speak with creatures of the sky. You have Advantage when breaking your falls.
Advanced	Druid	Athame	Weapon	A ritual knife used in sacrificial practices. This weapon provides a Mana Point when it’s used to incapacitate a target. You have Advantage when using Presence to inspire terror in animals.
Advanced	Druid	Blight	Alchemy	A dangerous toxin that corrupts and corrodes living matter. Can be used to spread disease, wither plants, and poison water. You are immune to poisons and diseases while this kit is equipped.
Advanced	Druid	Primal Staff	Weapon	A staff carved from a lightning-stuck tree. Wielding this weapon gives you Advantage on all rolls to influence wildlife. Natural wildlife will not attack you unless provoked.
Advanced	Druid	Talisman of Beasts	Talisman	A wand or other object that can be used to take the form of an animal. Can be used to transform into wolves, birds, and other animals. You can speak with and understand wildlife.
Advanced	Druid	Talisman of Storms	Talisman	A wand or other object that can be used to change the weather. Can be used to summon rain, call down lightning from the sky, and drive howling winds. You have Advantage when using Presence to inspire terror in people.
Advanced	Druid	Talisman of Time	Talisman	A wand or other object that can be used to gently influence time. Can be used to peer into the past, accelerate decay, and speed the growth of plants. You have Advantage when detecting danger.
Alchemist	Enchanter	Compliant Rod	Weapon	You have a servant that takes the form of a metal staff. It can shrink to fit in a pocket or grow to ten feet in length. You can expend a Potion to reshape the staff into another weapon, tool, or object.
Alchemist	Enchanter	Dancing Shadow	Alchemy, Reaction	You have a servant made of shadow. The servant resides within your shadow but can move independently and interact with the physical world. It can retrieve lightweight objects and store a small number within itself. You can expend a Potion to have the shadow deflect an incoming attack.
Alchemist	Enchanter	Featherweave	Alchemy, Reaction	You have a servant made from enchanted cloth, capable of resisting gravity to a limited degree. You glide gently to the ground while wearing this kit. When folded into a bag, you can carry heavy objects with ease. You can expend a Potion to turn the Featherweave into a flying carpet, able to carry multiple people for a short time.
Alchemist	Enchanter	Float Glass	Weapon	You have a servant made of floating glass, able to break apart into sharp shards and reform at will. You can command the servant to slash at enemies nearby. You can expend a Potion to transform it into a grenade, shredding everything in the blast radius before reforming.
Alchemist	Enchanter	Golem	Alchemy	You have a servant made from clay, capable of fighting independently and lifting heavy objects. Equipping this Kit provides one golem. You can expend a Potion to create additional golems.
Alchemist	Enchanter	Shikigami	Alchemy	You have servants made from enchanted paper, capable of flying, spying, and carrying messages.  Equipping this kit provides half a dozen shikigami. You can expend a Potion to create an additional six servants.
Advanced	Fell Knight	Ash Knives	Weapon, Ranged	A set of cursed throwing knives that prevent alchemical and magical healing. Using this weapon ensures that targets cannot be revived or reanimated. You have Advantage when attacking undead with this weapon.
Advanced	Fell Knight	Mournblade	Weapon, High Damage	A sword with a demon trapped inside. Using this weapon restores a Fortune box whenever it’s used to incapacitate an enemy. Successful attacks deal an additional box of damage. You have Advantage when using this weapon to attack demons.
Advanced	Fell Knight	Talisman of Fear	Talisman	A wand or other object that can be used to push terror into the minds of others. Can be used to incite a retreat, paralyze an enemy with fear, and interrogate others. You have Advantage when intimidating others.
Advanced	Fell Knight	Talisman of Siphoning	Talisman	A wand or other object that can be used to steal energy. Can be used to drain the lifeforce from others, tap into the power of an enchanted object, and consume spirits. Restores one Physical box on successful attacks.
Advanced	Fell Knight	Vim Drink	Alchemy	A distant ancestor to the modern alchemist potion. When consumed, the user expends a Mental box in exchange for recoving a Physical box. Can be used by others.
Advanced	Fell Knight	Wither Toxin	Alchemy	A bitter venom that causes intense pain. Can be applied to the user’s weapons to inflict Mental damage, cripple the wills of enemies, or cloud the mind. You have Advantage when interrogating someone for information.
Advanced	Gunslinger	Hand Cannon	Weapon, High Damage, Ranged	A hefty iron sidearm that packs a punch. Successful attacks deal an additional box of damage.
Advanced	Gunslinger	Magic Bullets	Alchemy	A collection of enchanted bullets. Includes silver bullets that tear through magic, whiplash bullets that create gusts of wind to disperse smokescreens, and spark bullets that manifest as bolts of lightning.
Advanced	Gunslinger	Quickdraw Pistol	Weapon, Ranged	A handgun built for quick access. If you strike before an enemy, the attack is treated as a sneak attack. You have Advantage when determining who goes first, such as rolling turn order.
Advanced	Gunslinger	Trick Bullets	Alchemy	A collection of bullets with unusual effects. Includes non-lethal rubber bullets, two-shot bullets that can change trajectory in midflight, and paint bullets that stain skin.
Advanced	Gunslinger	War Bullets	Alchemy	A collection of specialized bullets for warfare. Includes steel-tipped bullets for piercing through cover, breaching rounds for opening doors, and flare rounds for signalling.
Advanced	Gunslinger	Warded Greatcoat	Alchemy	A thick leather coat that reaches past the knees. Sigils of protection have been stitched into the lining, making the wearer resistant to bullets and blunt trauma. You have Advantage when defending against bludgeoning.
Soldier	Knight	Anointing Oil	Alchemy	A ritually prepared oil that knights apply before going to battle. Monsters, beasts, and the undead will target you before your allies. You are immune to illusions and curses.
Soldier	Knight	Holy Sword	Weapon	A blade quenched in holy water. Using this weapon allows your attacks to interfere with magic. You have Advantage when inspiring or rallying others.
Soldier	Knight	Hospitaler Salts	Alchemy	Smelling salts that wake the unconscious. Can be used to revive the unconscious, jolt others out of a trance, and overpower smells. Revived allies clear one box of damage, Physical or Mental, depending on which is necessary.
Soldier	Knight	Inscribed Shield	Weapon, Defense	A shield warded against hostile magic. Spells rebound from its surface. Using this weapon to attack gives you Advantage on rolls to defend until the start of your next turn. You have Advantage when defending against magical attacks.
Soldier	Knight	Smiting Mace	Weapon, High Damage	An enchanted warmace that stores kinetic energy. Using this weapon allows your attacks to knock enemies back or into the air with significant force. Successful attacks deal an additional box of damage.
Soldier	Knight	Taunting Scourge	Weapon	An enchanted metal chain with barbs that bind and restict enemies. Using this weapon grapples targets in addition to any damage dealt, compelling them to attack the user. You have Advantage when provoking others into attacking you.
Soldier	Legionnaire	Ogre Draught	Alchemy	A dangerous drug that requires training to withstand. While this kit is equipped you are immune to poisons and diseases. You have Advantage against hazards like sweltering heat and bitter cold.
Soldier	Legionnaire	Pocket Wall	Alchemy	A rapidly expanding cement-like substance. Can be used to create shelter, mend cracks, seal doors, or adhere objects to one another. You have Advantage when building or repairing objects with this kit.
Soldier	Legionnaire	Shocklance	Weapon	A spear whose tip crackles with electricity, causing intense pain on contact. Using this weapon inflicts a box of Mental damage on successful attacks, in addition to any Physical damage dealt. You have Advantage when intimidating others.
Soldier	Legionnaire	Thunderclap Javelins	Weapon, Ranged	A set of javelins that release sonic booms when they land. Using this weapon shatters the eardrums of enemies, deafening and disorienting in an area around your main target.
Soldier	Legionnaire	Vanguard Shield	Weapon, Defense	A collapsible shield that can unfold from a bracer into a full tower shield. Using this weapon to attack gives you Advantage on rolls to defend until the start of your next turn. You have Advantage when defending others from harm.
Soldier	Legionnaire	Wicked Blade	Weapon, Accurate, Reaction	A sharp shortsword that seeks out targets. Using this weapon adds +1 to the roll result of your attacks, significantly improving the chance that they’ll inflict damage. Enemies that attempt to leave your melee range take one box of Physical damage.
Mage	Priest	Holy Symbol	Weapon	An object affiliated with your patron spirits in some way. Using this weapon, attacks with Talismans are especially effective at chastising magical entities. You have Advantage when rolling Magic against other mages or spirits.
Mage	Priest	Talisman of Abjuration	Talisman, Reaction	A wand or other object that can be used to repel and dispel. Can be used to create barriers, destroy magic, and turn away otherworldly influences. You can expend a Mana Point to deflect an attack aimed at you.
Mage	Priest	Talisman of Divination	Talisman	A wand or other object that can be used to petition otherworldly forces for information. Can be used to divine the location of people, places, and things through magical means. You have Advantage when petitioning spirits.
Mage	Priest	Talisman of Dreaming	Talisman	A wand or other object that can be used to meddle with the boundary between conscious and unconscious. Can be used to induce sleep, daze enemies, and curse others with night terrors. You have Advantage when using Presence to put others into a stupor.
Mage	Priest	Talisman of Language	Talisman	A wand or other object that can be used to speak with and undestand all creatures. Can be used to speak with animals, put compulsions on others, and understand otherworldly creatures . You have Advantage when using Presence to command others.
Mage	Priest	Talisman of Necromancy	Talisman	A wand or other object that can be used to meddle with the boundary between life and death. Can be used to heal Physical damage, summon ghosts for information, and create undead. The number of Physical boxes healed is equal to the result of the roll.
Scoundrel	Ranger	Shepherd’s Flute	Alchemy	A ritually crafted flute that has power over simple-minded creatures. Playing the flute can calm wild animals and insects, or stir them into a dangerous frenzy. You can use I Know a Guy to recruit a local beast to aid you. You have Advantage when influencing animals.
Scoundrel	Ranger	Talisman of Life	Talisman	A wand or other object that can be used to preserve life. Can be used to heal wounds, sense the presence of living things, and detect disturbances in the natural order. The number of Physical boxes healed is equal to the result of the roll. You have Advantage when tracking others.
Scoundrel	Ranger	Talisman of Wood	Talisman	A wand or other object that can be used to manipulate plants. Can be used to accelerate plant growth, command flora, and commune with the spirits of the land. You have Advantage on rolls to interact with plant life.
Scoundrel	Ranger	Tamer’s Whip	Weapon	An enchanted leather whip that controls beasts. Successful attacks against wildlife deal one box of Mental damage instead of Physical. A beast incapacitated with this weapon will submit to the wielder.
Scoundrel	Ranger	Twin Edges	Weapon, Ranged, Reaction	A pair of charmed axes that gravitate towards one another. Throwing one axe will cause it to boomerang back towards the other. On a successful defense against a melee attack, you inflict a box of Physical damage to the attacker.
Scoundrel	Ranger	Whisper Bowstring	Weapon, Ranged	A bowstring made of siren’s hair that enchants arrows to ‘eat sound’, creating small pockets of silence on impact. Using this weapon ensures that an enemy won’t cause a commotion for a brief period of time, in addition to any Physical damage dealt. You have Advantage when trying to move quietly.
Alchemist	Sapper	Concussive Charges	Alchemy	Explosive bullets that create powerful shockwaves to knock enemies over with instead of dealing Physical damage. You can expend a Potion to create a concussive grenade that deals damage and creates a shockwave.
Alchemist	Sapper	Grease Charges	Alchemy	Capsule bullets filled with slippery and flammable grease, covering targets instead of dealing Physical damage. You can expend a Potion to create a grease bomb that covers an area with oil.
Alchemist	Sapper	Iron-Sighted Rifle	Weapon, Accurate, Ranged	A long-barreled gun used for precision shooting. Using this weapon adds +1 to the roll result of your attacks, significantly improving the chance that they’ll inflict damage. You have Advantage when making ranged attacks without any distractions.
Alchemist	Sapper	Phosphos Charges	Alchemy	Volatile bullets that ignite targets and produce blinding flashes of light. You can expend a Potion to create a flash bomb that blinds enemies, or a fire bomb that causes damage and sets the area ablaze.
Alchemist	Sapper	Trenchcoat Boomstick	Weapon	A short-barreled gun used for clearing rooms. Using this weapon allows your ranged attacks to cause harm in a cone area-of-effect immediately in front of you.
Alchemist	Sapper	Trenchsteel Charges	Alchemy	Loaded bullets that fire twice, changing trajectory in mid-air to shoot around corners or cover. You can expend a Potion to create a ball bearing grenade that deals damage and covers an area with metal balls.
Mage	Shaman	Talisman of Air	Talisman, Reaction	A wand or other object that can be used to manipulate air. Can be used to create ferocious whirlwinds, fall gently from great heights, and rebuff projectiles. You can expend a Mana box to deflect an attack.
Mage	Shaman	Talisman of Earth	Talisman	A wand or other object that can be used to manipulate earth. Can be used to throw jagged spikes from the ground, reshape stone, and send tremors through the earth. You cannot be knocked over while this kit is equipped.
Mage	Shaman	Talisman of Fire	Talisman	A wand or other object that can be used to manipulate fire. Can be used to throw flames, create floating torches, and control raging fires. You cannot be harmed by fire while this kit is equipped.
Mage	Shaman	Talisman of Water	Talisman	A wand or other object that can be used to manipulate water. Can be used to create spears of ice, conjure fog, and purify liquids. You are immune to poison while this kit is equipped.
Mage	Shaman	Totemic Staff	Weapon	A decorated staff that fosters balance between the elements. Using this weapon, attacks with Talismans become more precise, able to strike groups of enemies without harming nearby allies. You have Advantage when petitioning spirits with Presence.
Mage	Shaman	Vision Powder	Alchemy	A ritually prepared dust that enhances magical senses. Can be used to induce deep trances, avoid the need for sleep, and disperse illusions. You have Advantage on Presence rolls to sense and identify magic.
Advanced	Spellsword	Mythril Blade	Weapon, Accurate	A blade that conducts magic. Using this weapon allow you to use Talismans in conjunction with attacks, empowering strikes with effects related to the Talisman.
Advanced	Spellsword	Mythril Gauntlets	Alchemy	A pair of gauntles that conduct magic. Used to channel Spellsword Talismans outside the body. Can project magic a short distance away, into an object being held, or into a person being touched.
Advanced	Spellsword	Talisman of Moon	Talisman, Reaction	A wand or other object that can be used to deflect harm away from your body. Can be used to parry projectiles, repel magic, and break grapples. You can spend a Mana box to avoid harm from incoming attacks.
Advanced	Spellsword	Talisman of Stars	Talisman	A wand or other object that can be used to accelerate your body. Can be used to briefly move faster than normal, heal your wounds, and quicken your thoughts. May cause Physical damage to you if used excessively. The number of Physical boxes healed is equal to the result of the roll.
Advanced	Spellsword	Talisman of Sun	Talisman	A wand or other object that can be used to radiate heat and light from your body. Can be used to burn off restraints, blind enemies in melee range, and stave off cold. May cause Physical damage to you if used excessively.
Advanced	Spellsword	Talisman of Terra	Talisman	A wand or other object that can be used to amplify the force of individual motions your body makes. Can be used to leap high into the air, knock an enemy back with a strike, or kick a door off its hinges. May cause Physical damage to you if used excessively.
Advanced	Templar	Abjuring Chain	Weapon	A metal chainlink whip engraved with warding runes. Using this weapon allows your attacks to interfere with magic, similar to a knight’s holy sword. The whip can be joined together to create a magic circle that repels magic from the outside and contains magic within.
Advanced	Templar	Lantern Spear	Weapon	A shaft of steel tipped with enchanted silver that permanently glows with light. Using this weapon blinds creatures with strong night vision. Successful attacks against magical creatures deal an additional point of damage.
Advanced	Templar	Sacred Censure	Alchemy	A brass vessel suspended by a chain, made for burning incense. Can be used to create swirls of white smoke that dampen the effects of magic in an area. Monsters and other animals are repelled by the smell, making it useful for setting up camp in dangerous areas.
Advanced	Templar	Talisman of Binding	Talisman	A wand or other object that can be used to restrict and reinforce. Can be used to imprison enemies, to fortify doors, and to seal away magic.
Advanced	Templar	Talisman of Purity	Talisman	A wand or other object that can be used to purify and sanctify. Can be used to expel poisons, harm magical creatures, and bless objects with the power to ward off evil.
Advanced	Templar	Tolling Bell	Alchemy	A metal bell whose deep sound sends a feeling of peace through those who hear it. Weak undead in the area are immediately put to rest, while stronger undead take Physical and Mental damage. Can be used softly to put others into a stupor, but only if they’re caught unaware.
Mage	Wizard	Familiar	Alchemy	You have a shapeshifting servant that takes the form of a small animal, such as a crow or cat. You are able to borrow its senses, issue commands to it, and cast spells through it. You can change your familiar’s shape by expending a Mana box.
Mage	Wizard	Talisman of Aether	Talisman	A wand or other object that can be used to manipulate electromagnetic energy. Can be used to shoot lightning, magnetize metals, and control the flow of electricity.
Mage	Wizard	Talisman of Force	Talisman, Reaction	A wand or other object that can be used to manipulate kinetic energy. Can be used to perform telekinesis, lob blasts of kinetic force at enemies, and adjust the speed of moving objects. You can expend a Mana Point to deflect an attack aimed at you.
Mage	Wizard	Talisman of Gravity	Talisman	A wand or other object that can be used to manipulate gravity. Can be used to pull an enemy to the ground, lighten the weight of an object, and adjust gravity.
Mage	Wizard	Talisman of Heat	Talisman	A wand or other object that can be used to manipulate thermal energy. Can be used to ignite enemies, freeze objects, and adjust temperature.
Mage	Wizard	Wizard Staff	Weapon, Accurate	A staff that leverages alchemy to improve the effectiveness of combat magic. Using this weapon adds +1 to attacks with Talismans, significantly improving the chance that they’ll cause harm.
